1,國際,變頻冷專冷氣,CS-LJ71BA2/CU-LJ71BCA2,"54,832"
3,聲寶,1級變頻冷暖冷氣,AU-MF22DC/AM-MF22DC,"17,900"
4,日立,1級變頻冷暖左吹式窗型冷氣,RA-25HV1,"22,800"
5,日立,1級變頻冷專分離式冷氣機,RAS-22YSK/RAC-22SK1,"19,500"
6,日立,1級變頻冷專分離式冷氣,RAS-40YSK/RAC-40SK1,"34,500"
7,TAIGA,冷專移動式冷氣機,TAG-CB1065,"5,990"
8,日立,1級變頻冷暖左吹式窗型冷氣,RA-28HV1,"25,800"
9,聲寶,1級變頻冷暖冷氣,AU-MF36DC/AM-MF36DC,"25,900"
10,日立,一級能效變頻冷專窗型左吹型冷氣,RA-36QV1,"28,896"
11,日立,一級能效變頻冷專窗型左吹式冷氣,RA-36QV1,"29,904"
12,日立,一級能效變頻冷暖窗型雙吹式冷氣,RA-50HV1,"38,950"
13,日立,變頻雙吹式冷暖窗型冷氣,RA-40HV1(RA-40HV1),"35,002"
14,日立,變頻雙吹式冷暖窗型冷氣,RA-36NV1,"36,100"
15,qwe,asd,zxc,13
